Generating graph...
Graph Stats:
Number of nodes: 3270
Number of sources: 1
Number of sinks: 174
Number of edges: 9894
Computing BFS...
Done.
Found back edge 1-3512 -> 0-0314, id: 266 -> 188, dist: 7 -> 6 -HIT replaceable to 0-3513
Found back edge 1-3624 -> 0-0334, id: 271 -> 191, dist: 7 -> 6 -HIT replaceable to 0-3625
Found back edge 1-3614 -> 0-0334, id: 275 -> 191, dist: 7 -> 6 -HIT replaceable to 0-3624
Found back edge 1-2214 -> 0-2215, id: 278 -> 35, dist: 7 -> 4  replaceable to 0-2224
Found back edge 1-2615 -> 0-0235, id: 280 -> 160, dist: 7 -> 6 -HIT replaceable to 0-2616
Found back edge 1-2715 -> 0-0225, id: 281 -> 120, dist: 7 -> 6 -HIT replaceable to 0-2716
Found back edge 1-2325 -> 0-2335, id: 285 -> 159, dist: 7 -> 6  replaceable to 0-0226
Found back edge 1-2625 -> 0-0235, id: 287 -> 160, dist: 7 -> 6 -HIT replaceable to 0-2645
Found back edge 1-2705 -> 0-0225, id: 288 -> 120, dist: 7 -> 6 -HIT 
Found back edge 1-1123 -> 0-1124, id: 296 -> 199, dist: 7 -> 6  
Found back edge 1-1123 -> 0-1134, id: 296 -> 201, dist: 7 -> 6  
Found back edge 1-1123 -> 0-1125, id: 296 -> 178, dist: 7 -> 6  
Found back edge 1-1223 -> 0-1224, id: 297 -> 202, dist: 7 -> 6  
Found back edge 1-1223 -> 0-1234, id: 297 -> 204, dist: 7 -> 6  
Found back edge 1-1223 -> 0-1225, id: 297 -> 182, dist: 7 -> 6  
Found back edge 1-1704 -> 0-1714, id: 298 -> 195, dist: 7 -> 6  
Found back edge 1-1704 -> 0-0124, id: 298 -> 125, dist: 7 -> 6 -HIT 
Found back edge 1-3615 -> 0-0335, id: 306 -> 172, dist: 7 -> 6 -HIT replaceable to 0-3625
Found back edge 1-1805 -> 0-0115, id: 307 -> 41, dist: 7 -> 4 -HIT 
Found back edge 1-1716 -> 0-1717, id: 308 -> 213, dist: 7 -> 6  replaceable to 0-0126
Found back edge 1-2403 -> 0-2423, id: 312 -> 112, dist: 7 -> 6  
Found back edge 1-3403 -> 0-3423, id: 313 -> 135, dist: 7 -> 6  
Found back edge 1-3411 -> 0-3412, id: 319 -> 175, dist: 7 -> 6  
Found back edge 1-3411 -> 0-3412, id: 319 -> 175, dist: 7 -> 6  
Found back edge 1-3412 -> 0-3423, id: 321 -> 135, dist: 7 -> 6  replaceable to 0-3422
Found back edge 1-3412 -> 0-3414, id: 321 -> 139, dist: 7 -> 6  replaceable to 0-3422
Found back edge 1-1605 -> 0-1615, id: 325 -> 157, dist: 7 -> 6  
Found back edge 1-1605 -> 0-1625, id: 325 -> 210, dist: 7 -> 6  
Found back edge 1-2411 -> 0-2412, id: 327 -> 163, dist: 7 -> 6  
Found back edge 1-2411 -> 0-2412, id: 327 -> 163, dist: 7 -> 6  
Found back edge 1-1511 -> 0-1512, id: 328 -> 134, dist: 7 -> 6  
Found back edge 1-1511 -> 0-1512, id: 328 -> 134, dist: 7 -> 6  
Found back edge 1-1511 -> 0-1513, id: 328 -> 47, dist: 7 -> 4  
Found back edge 1-1511 -> 0-1513, id: 328 -> 47, dist: 7 -> 4  
Found back edge 1-2412 -> 0-2423, id: 329 -> 112, dist: 7 -> 6  replaceable to 0-2422
Found back edge 1-2412 -> 0-2414, id: 329 -> 114, dist: 7 -> 6  replaceable to 0-2422
Found back edge 1-1301 -> 0-1312, id: 341 -> 5, dist: 7 -> 2  
Found back edge 1-1201 -> 0-1212, id: 342 -> 3, dist: 7 -> 2  
Found back edge 1-1402 -> 0-1412, id: 343 -> 168, dist: 7 -> 6  
Found back edge 1-1402 -> 0-1422, id: 343 -> 30, dist: 7 -> 4  
Found back edge 1-1403 -> 0-1413, id: 344 -> 31, dist: 7 -> 4  
Found back edge 1-1403 -> 0-1423, id: 344 -> 32, dist: 7 -> 4  
Found back edge 1-2324 -> 0-2334, id: 349 -> 117, dist: 7 -> 6  replaceable to 0-2344
Found back edge 1-2324 -> 0-2325, id: 349 -> 118, dist: 7 -> 6  replaceable to 0-2344
Found back edge 1-1314 -> 0-1315, id: 350 -> 37, dist: 7 -> 4  replaceable to 0-1334
Found back edge 1-3715 -> 0-0325, id: 354 -> 146, dist: 7 -> 6 -HIT replaceable to 0-3717
Found back edge 1-2334 -> 0-2335, id: 356 -> 159, dist: 7 -> 6  replaceable to 0-2344
Found back edge 1-3625 -> 0-0335, id: 357 -> 172, dist: 7 -> 6 -HIT replaceable to 0-3645
Found back edge 1-3705 -> 0-0325, id: 359 -> 146, dist: 7 -> 6 -HIT 
Found back edge 1-2714 -> 0-0224, id: 364 -> 138, dist: 7 -> 6 -HIT replaceable to 0-2734
Found back edge 1-1804 -> 0-0114, id: 365 -> 49, dist: 7 -> 4 -HIT 
Found back edge 1-3714 -> 0-0324, id: 366 -> 187, dist: 7 -> 6 -HIT replaceable to 0-3715
Found back edge 1-1424 -> 0-1434, id: 371 -> 126, dist: 7 -> 6  replaceable to 0-1444
Found back edge 1-1424 -> 0-0125, id: 371 -> 127, dist: 7 -> 6 -HIT replaceable to 0-1426
Found back edge 1-1434 -> 0-0135, id: 372 -> 164, dist: 7 -> 6 -HIT replaceable to 0-1444
Found back edge 1-1807 -> 0-0117, id: 386 -> 185, dist: 7 -> 6 -HIT 
Found back edge 0-2426 -> 1-3402, id: 389 -> 232, dist: 8 -> 7 -HIT replaceable to 1-2526
Found back edge 0-2522 -> 1-3522, id: 392 -> 98, dist: 8 -> 5  
Found back edge 0-2522 -> 1-2622, id: 392 -> 303, dist: 8 -> 7  
Found back edge 0-4433 -> 1-4533, id: 393 -> 276, dist: 8 -> 7  
Found back edge 0-4433 -> 1-4533, id: 393 -> 276, dist: 8 -> 7  
Found back edge 0-4433 -> 1-4433, id: 393 -> 224, dist: 8 -> 7  
Found back edge 0-4424 -> 1-4502, id: 394 -> 270, dist: 8 -> 7 -HIT 
Found back edge 0-4424 -> 1-4502, id: 394 -> 270, dist: 8 -> 7 -HIT 
Found back edge 0-4434 -> 1-4503, id: 395 -> 282, dist: 8 -> 7 -HIT 
Found back edge 0-4434 -> 1-4503, id: 395 -> 282, dist: 8 -> 7 -HIT 
Found back edge 0-2612 -> 1-3612, id: 396 -> 301, dist: 8 -> 7  replaceable to 1-4612
Found back edge 0-2612 -> 1-2701, id: 396 -> 295, dist: 8 -> 7 -HIT replaceable to 1-4612
Found back edge 0-2622 -> 1-3622, id: 397 -> 304, dist: 8 -> 7  replaceable to 1-2822
Found back edge 0-2625 -> 1-3625, id: 400 -> 357, dist: 8 -> 7  replaceable to 1-4602
Found back edge 0-2625 -> 1-2705, id: 400 -> 288, dist: 8 -> 7 -HIT replaceable to 1-2825
Found back edge 0-2626 -> 1-3602, id: 402 -> 269, dist: 8 -> 7 -HIT replaceable to 1-4626
Found back edge 0-4416 -> 1-4516, id: 403 -> 338, dist: 8 -> 7  
Found back edge 0-4416 -> 1-4516, id: 403 -> 338, dist: 8 -> 7  
Found back edge 0-2624 -> 1-3624, id: 404 -> 271, dist: 8 -> 7  replaceable to 1-2824
Found back edge 0-2615 -> 1-3615, id: 405 -> 306, dist: 8 -> 7  replaceable to 1-4601
Found back edge 0-2615 -> 1-2715, id: 405 -> 281, dist: 8 -> 7  replaceable to 1-2805
Found back edge 0-2616 -> 1-3601, id: 406 -> 309, dist: 8 -> 7 -HIT replaceable to 1-4616
Found back edge 0-2616 -> 1-2716, id: 406 -> 339, dist: 8 -> 7  replaceable to 1-2806
Found back edge 0-2225 -> 1-2325, id: 407 -> 285, dist: 8 -> 7  
Found back edge 0-2225 -> 1-2325, id: 407 -> 285, dist: 8 -> 7  
Found back edge 0-2225 -> 1-2402, id: 407 -> 231, dist: 8 -> 7 -HIT 
Found back edge 0-2225 -> 1-2402, id: 407 -> 231, dist: 8 -> 7 -HIT 
Found back edge 0-2216 -> 1-2301, id: 408 -> 318, dist: 8 -> 7 -HIT 
Found back edge 0-2216 -> 1-2301, id: 408 -> 318, dist: 8 -> 7 -HIT 
Found back edge 0-2216 -> 1-2416, id: 408 -> 257, dist: 8 -> 7  
Found back edge 0-2216 -> 1-2416, id: 408 -> 257, dist: 8 -> 7  
Found back edge 0-2235 -> 1-2335, id: 409 -> 335, dist: 8 -> 7  
Found back edge 0-2235 -> 1-2335, id: 409 -> 335, dist: 8 -> 7  
Found back edge 0-2235 -> 1-2403, id: 409 -> 312, dist: 8 -> 7 -HIT 
Found back edge 0-2235 -> 1-2403, id: 409 -> 312, dist: 8 -> 7 -HIT 
Found back edge 0-2436 -> 1-3403, id: 412 -> 313, dist: 8 -> 7 -HIT replaceable to 1-4436
Found back edge 0-2513 -> 1-3513, id: 415 -> 99, dist: 8 -> 5  
Found back edge 0-2513 -> 1-2601, id: 415 -> 385, dist: 8 -> 7 -HIT 
Found back edge 0-2513 -> 1-2713, id: 415 -> 368, dist: 8 -> 7  
Found back edge 0-2422 -> 1-3422, id: 417 -> 70, dist: 8 -> 5  
Found back edge 0-2422 -> 1-2522, id: 417 -> 71, dist: 8 -> 5  
Found back edge 0-2422 -> 1-2622, id: 417 -> 303, dist: 8 -> 7  
Found back edge 0-3422 -> 1-3522, id: 418 -> 98, dist: 8 -> 5  replaceable to 1-4422
